"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"3-комнатная квартира · 77 м² · 2/9 этаж";"20 000 000";"Aktobe";"Нур Актобе 14 В";"3";"77";"2/9";""
"4-комнатная квартира · 110 м² · 5/5 этаж";"38 000 000";"Aktobe";"мкр. Алтын орда, ​Батыс 2 микрорайон 10 е";"4";"110";"5/5";""
"4-комнатная квартира · 110 м² · 5/5 этаж";"38 000 000";"Aktobe";"мкр. Алтын орда, ​Батыс 2 микрорайон 10 е";"4";"110";"5/5";""
"4-комнатная квартира · 150 м² · 3/9 этаж";"90 000 000";"Aktobe";"мкр. Алтын орда 5а — Ораз татеулы";"4";"150";"3/9";""
"3-комнатная квартира · 97 м² · 6/9 этаж";"41 000 000";"Aktobe";"мкр. Алтын орда 54 а";"3";"97";"6/9";""
"4-комнатная квартира · 89.1 м² · 7/10 этаж";"26 500 000";"Aktobe";"мкр 11 106";"4";"89.1";"7/10";""
"2-комнатная квартира · 45 м² · 4/5 этаж";"14 400 000";"Aktobe";"мкр 5, Абулхаир хана 63/1";"2";"45";"4/5";""
"4-комнатная квартира · 89 м² · 3/3 этаж";"14 500 000";"Aktobe";"Старый город 5 — Алтынсарина";"4";"89";"3/3";""
"2-комнатная квартира · 73 м² · 4/10 этаж";"20 000 000";"Aktobe";"мкр. Курмыш, набережная 86 — на конаева";"2";"73";"4/10";""
"3-комнатная квартира · 75 м² · 3/9 этаж";"24 000 000";"Aktobe";"Нур Актобе 13";"3";"75";"3/9";""
"2-комнатная квартира · 58 м² · 8/9 этаж";"16 200 000";"Aktobe";"Нур Актобе";"2";"58";"8/9";""
"2-комнатная квартира · 84 м² · 10/11 этаж";"18 500 000";"Aktobe";"мкр. Курмыш, Набережная 85";"2";"84";"10/11";""
"2-комнатная квартира · 82 м² · 7/10 этаж";"33 200 000";"Aktobe";"мкр. Алтын орда, Алтын Орда 5Е";"2";"82";"7/10";""
"2-комнатная квартира · 61 м² · 3/9 этаж";"20 500 000";"Aktobe";"мкр. Алтын орда 13/1";"2";"61";"3/9";""
"1-комнатная квартира · 47 м² · 7/9 этаж";"17 500 000";"Aktobe";"мкр. Алтын орда 54 А";"1";"47";"7/9";""
"1-комнатная квартира · 34 м² · 7/7 этаж";"12 500 000";"Aktobe";"мкр Болашак, Богенбай Батыра 155/1";"1";"34";"7/7";""
"2-комнатная квартира · 48 м² · 3/5 этаж";"14 500 000";"Aktobe";"Абулхайр хана 49 — Абулхайр хана";"2";"48";"3/5";""
"2-комнатная квартира · 70 м² · 10/10 этаж";"19 000 000";"Aktobe";"мкр 11, Шайкенова 13";"2";"70";"10/10";""
"2-комнатная квартира · 78 м² · 3/5 этаж";"41 000 000";"Aktobe";"мкр. Алтын орда 7н";"2";"78";"3/5";""
"3-комнатная квартира · 122.2 м² · 3/5 этаж";"42 770 000";"Aktobe";"мкр. Алтын орда, Мкр.Батыс-2 54Г";"3";"122.2";"3/5";""
"2-комнатная квартира · 54.7 м² · 4/5 этаж";"16 700 000";"Aktobe";"мкр 8, Братьев жубановых 293/1 — Кол Авто";"2";"54.7";"4/5";""
"2-комнатная квартира · 55 м² · 4/5 этаж";"12 500 000";"Aktobe";"мкр Шанхай";"2";"55";"4/5";""
"1-комнатная квартира · 36 м² · 5/5 этаж";"6 500 000";"Aktobe";"мкр Шанхай, рыскулова 14а";"1";"36";"5/5";""
"2-комнатная квартира · 79 м² · 3/10 этаж";"23 900 000";"Aktobe";"Молдагулова 58";"2";"79";"3/10";""
"2-комнатная квартира · 85.7 м² · 4/6 этаж";"32 500 000";"Aktobe";"мкр. Алтын орда, мкр.Батыс-2 54Б";"2";"85.7";"4/6";""
"3-комнатная квартира · 60 м² · 2/5 этаж";"14 500 000";"Aktobe";"жилой массив Жанаконыс, мкр Жастар 2, Новый 1 дом 2 — Около 40 лет победы";"3";"60";"2/5";""
"2-комнатная квартира · 72 м²";"25 500 000";"Aktobe";"Алия Молдагулова 50а";"2";"72";"";""
"2-комнатная квартира · 55.6 м² · 1/6 этаж";"15 000 000";"Aktobe";"мкр Жилгородок, Есет батыра 3";"2";"55.6";"1/6";""
"2-комнатная квартира · 44.6 м² · 4/5 этаж";"14 200 000";"Aktobe";"мкр 5 105 — Есет батыр и Молдагулова";"2";"44.6";"4/5";""
"3-комнатная квартира · 90 м² · 1/5 этаж";"33 800 000";"Aktobe";"Нур Актобе 43/9 — Бопай ханым 43/9";"3";"90";"1/5";""
"2-комнатная квартира · 65 м² · 6/25 этаж";"15 500 000";"Aktobe";"мкр 11 112б";"2";"65";"6/25";""
"2-комнатная квартира · 69.5 м²";"24 500 000";"Aktobe";"Алия Молдагулова 50а";"2";"69.5";"";""
"2-комнатная квартира · 65 м² · 6/25 этаж";"15 500 000";"Aktobe";"11 микр";"2";"65";"6/25";""
"3-комнатная квартира · 126 м² · 5/25 этаж";"24 300 000";"Aktobe";"11микр 112Б";"3";"126";"5/25";""
"2-комнатная квартира · 79 м² · 3/9 этаж";"21 000 000";"Aktobe";"Нур Актобе 14г — 4 микрорайон";"2";"79";"3/9";""
"4-комнатная квартира · 131 м² · 1/9 этаж";"65 000 000";"Aktobe";"Г. жубановой 146 — За канцелярией";"4";"131";"1/9";""
"1-комнатная квартира · 45.5 м² · 9/10 этаж";"16 800 000";"Aktobe";"мкр. Алтын орда 2";"1";"45.5";"9/10";""
"2-комнатная квартира · 78 м² · 1/5 этаж";"31 500 000";"Aktobe";"мкр. Алтын орда 49г — Смарт Білім гиперанвар";"2";"78";"1/5";""
"2-комнатная квартира · 63.9 м² · 6/9 этаж";"22 000 000";"Aktobe";"мкр 12 43а";"2";"63.9";"6/9";""
"2-комнатная квартира · 45.9 м² · 5/8 этаж";"17 500 000";"Aktobe";"мкр Авиатор, Богенбай батыр 155/7";"2";"45.9";"5/8";""
"6-комнатная квартира · 330 м² · 1/4 этаж";"130 000 000";"Aktobe";"мкр. Алтын орда, Мангилик Ел 7 — ТАНХАУС В ЦЕНТРЕ БАТЫС-2";"6";"330";"1/4";""
"7-комнатная квартира · 217 м² · 9/10 этаж";"110 000 000";"Aktobe";"мкр 12 15Д — Маметова";"7";"217";"9/10";""
"2-комнатная квартира · 83 м² · 7/9 этаж";"27 800 000";"Aktobe";"мкр. Алтын орда, Санкибай батыра 177А";"2";"83";"7/9";""
"4-комнатная квартира · 119.4 м² · 5/5 этаж";"35 000 000";"Aktobe";"мкр 6, Газиза Жубанова 39Е — Газиза Жубанова";"4";"119.4";"5/5";""
"3-комнатная квартира · 95.7 м² · 10/10 этаж";"36 000 000";"Aktobe";"мкр. Алтын орда, С.Байшева 7А";"3";"95.7";"10/10";""
"4-комнатная квартира · 130 м² · 1/11 этаж";"48 500 000";"Aktobe";"Есет батыра 108а";"4";"130";"1/11";""
"1-комнатная квартира · 46.4 м² · 4/9 этаж";"18 500 000";"Aktobe";"мкр. Алтын орда, Алтын Орда 2";"1";"46.4";"4/9";""
"3-комнатная квартира · 86.4 м² · 3/9 этаж";"30 000 000";"Aktobe";"Нур Актобе 13Г — ЖМ Каргалы";"3";"86.4";"3/9";""
"1-комнатная квартира · 32.2 м² · 5/6 этаж";"9 800 000";"Aktobe";"Старый город, 8 Марта 28/1 — Рядом детский сад, дом находится возле поворота в сторону ЖД-багажного отделения с улиц Жанкожа батыра и Герцена.";"1";"32.2";"5/6";""
"2-комнатная квартира · 70 м² · 8/10 этаж";"23 000 000";"Aktobe";"мкр Болашак, Болашақ ш/а. 129К/к1";"2";"70";"8/10";""
"3-комнатная квартира · 94.4 м² · 5/5 этаж";"42 000 000";"Aktobe";"мкр. Алтын орда, Мкрн Алтын Орда 22е";"3";"94.4";"5/5";""
"2-комнатная квартира · 76.2 м² · 1/9 этаж";"35 000 000";"Aktobe";"мкр. Алтын орда";"2";"76.2";"1/9";""
"3-комнатная квартира · 70.3 м² · 3/5 этаж";"16 000 000";"Aktobe";"мкр Шанхай, Кошевого 113/1";"3";"70.3";"3/5";""
"3-комнатная квартира · 59 м² · 6/9 этаж";"18 200 000";"Aktobe";"мкр 5, Пр-т. Алия Молдагуловой 10 — Район вечного огня";"3";"59";"6/9";""
"3-комнатная квартира · 64.1 м² · 6/9 этаж";"22 000 000";"Aktobe";"мкр 8, Братьев Жубановых 293";"3";"64.1";"6/9";""
"2-комнатная квартира · 60 м² · 3/10 этаж";"24 000 000";"Aktobe";"11-й микрорайон";"2";"60";"3/10";""
"3-комнатная квартира · 73 м² · 3/9 этаж";"22 500 000";"Aktobe";"мкр 12 18";"3";"73";"3/9";""
"3-комнатная квартира · 57 м² · 2/3 этаж";"8 200 000";"Aktobe";"Старый город, Ламаносова 1/1";"3";"57";"2/3";""
